,fecha_hecho,latitud,longitud,sexo,edad,medio_transporte,modalidad,sede_receptora
266,2017-03-10,6.29055843,-75.56481715,Mujer,30,Metro,Cosquilleo,Castilla
267,2017-03-10,6.25018224,-75.59217067,Mujer,44,Taxi,Descuido,Laureles
268,2017-03-10,6.19519011,-75.58135595,Mujer,26,Taxi,Atraco,Poblado
269,2017-03-10,6.23191048,-75.60463786,Mujer,24,Taxi,Atraco,Belén
270,2017-03-11,6.23410957,-75.5395725,Hombre,32,Taxi,Atraco,Villa Hermosa
271,2017-03-11,6.30373696,-75.55767571,Hombre,40,Metro,Cosquilleo,Castilla
272,2017-03-11,6.23410957,-75.5395725,Hombre,32,Taxi,Atraco,Villa Hermosa
273,2017-03-11,6.2779293,-75.56969371,Hombre,16,Metro,Cosquilleo,Castilla
274,2017-03-11,6.27580958,-75.55368628,Hombre,53,Taxi,Atraco,Aranjuez
275,2017-03-11,6.27580958,-75.55368628,Hombre,53,Taxi,Atraco,Aranjuez
276,2017-03-11,6.23981552,-75.59162345,Hombre,25,Autobus,Cosquilleo,Laureles
277,2017-03-12,6.2046919,-75.58809833,Hombre,53,Taxi,Atraco,Belén
278,2017-03-12,6.25596783,-75.58122721,Mujer,70,Autobus,Cosquilleo,Laureles
279,2017-03-12,6.2046919,-75.58809833,Hombre,53,Taxi,Atraco,Belén
280,2017-03-13,6.20024179,-75.57926727,Mujer,41,Metro,Cosquilleo,Poblado
281,2017-03-13,6.25274167,-75.56283798,Hombre,55,Autobus,Raponazo,Candelaria
282,2017-03-13,6.19768599,-75.59013214,Mujer,53,Taxi,Atraco,Belén
283,2017-03-13,6.24633925,-75.56331545,Hombre,56,Taxi,Raponazo,Candelaria
284,2017-03-14,6.27360202,-75.5797359,Mujer,46,Autobus,Cosquilleo,Castilla
285,2017-03-14,6.27360202,-75.5797359,Mujer,46,Autobus,Cosquilleo,Castilla
286,2017-03-14,6.25754624,-75.57239201,Hombre,32,Taxi,Atraco,Candelaria
287,2017-03-14,6.2905331,-75.56440623,Mujer,50,Metro,Cosquilleo,Castilla
288,2017-03-14,6.25754624,-75.57239201,Hombre,32,Taxi,Atraco,Candelaria
289,2017-03-15,6.23050865,-75.57507824,Hombre,19,Metro,Cosquilleo,Poblado
290,2017-03-15,6.23045132,-75.57556775,Hombre,18,Metro,Cosquilleo,Poblado
